#,Zona,Tier,Enemigo,Objeto,Tipo,Stats,Probabilidad,Categoría
20,Bosque de los Susurros,10,El Enraizado,Anillo del Enraizado,armadura · anillo,Daño Crítico: +8%,8%,armadura
21,Ciénaga de los Ahogados,1,Sanguijuela Colosal,Poción de Salud,poción,Restaura 20 HP,50%,pocion
21,Ciénaga de los Ahogados,1,Sanguijuela Colosal,Piel de Sanguijuela,material,Elástica y viscosa; resbala entre los dedos.,30%,material
21,Ciénaga de los Ahogados,1,Sanguijuela Colosal,Colmillo de Sanguijuela,arma,Daño: 12,10%,arma
21,Ciénaga de los Ahogados,1,Sanguijuela Colosal,Guanteletes de Sanguijuela,armadura · guantes,Daño Crítico: +6%,8%,armadura
22,Ciénaga de los Ahogados,2,Espantajo Anegado,Poción de Salud,poción,Restaura 20 HP,50%,pocion
22,Ciénaga de los Ahogados,2,Espantajo Anegado,Fibra Anegada,material,"Cuerda vegetal empapada; no se pudre, solo se endurece.",30%,material
22,Ciénaga de los Ahogados,2,Espantajo Anegado,Garra de Cañas,arma,Daño: 13,10%,arma
22,Ciénaga de los Ahogados,2,Espantajo Anegado,Perneras de Junco,armadura · perneras,Evasión: +4,8%,armadura
23,Ciénaga de los Ahogados,3,Ahogado Errante,Poción de Salud,poción,Restaura 20 HP,50%,pocion
23,Ciénaga de los Ahogados,3,Ahogado Errante,Trapo Empapado,material,"Nunca llega a secarse del todo, sin importar cuánto pase.",30%,material
23,Ciénaga de los Ahogados,3,Ahogado Errante,Puño Ahogado,arma,Daño: 14,10%,arma
23,Ciénaga de los Ahogados,3,Ahogado Errante,Yelmo Hinchado,armadura · casco,Vida: +22,8%,armadura
24,Ciénaga de los Ahogados,4,Chamán del Cieno,Poción de Salud,poción,Restaura 20 HP,50%,pocion
24,Ciénaga de los Ahogados,4,Chamán del Cieno,Cieno Negro,material,Denso y tibio incluso lejos del agua. No debería estarlo.,30%,material
24,Ciénaga de los Ahogados,4,Chamán del Cieno,Vara del Cieno,arma,Daño: 15 (Oscuridad) · inflige marchitamiento 25%,10%,arma
24,Ciénaga de los Ahogados,4,Chamán del Cieno,Amuleto de Barro Negro,armadura · amuleto,Res.Mágica: 5,8%,armadura
25,Ciénaga de los Ahogados,5,Cangrejo Acorazado,Poción de Salud,poción,Restaura 20 HP,50%,pocion
25,Ciénaga de los Ahogados,5,Cangrejo Acorazado,Caparazón de Cangrejo,material,Grueso y curvo; sigue siendo duro mucho después de la muerte.,30%,material
25,Ciénaga de los Ahogados,5,Cangrejo Acorazado,Tenaza Cercenadora,arma,Daño: 17,8%,arma
25,Ciénaga de los Ahogados,5,Cangrejo Acorazado,Placa de Caparazón,armadura · peto,Armadura: 10 | Vida: +15,8%,armadura
26,Ciénaga de los Ahogados,6,Serpiente de Fango,Poción de Salud,poción,Restaura 20 HP,50%,pocion
26,Ciénaga de los Ahogados,6,Serpiente de Fango,Escama de Fango,material,Cubierta de barro seco que no acaba de desprenderse.,30%,material
26,Ciénaga de los Ahogados,6,Serpiente de Fango,Colmillo de Fango,arma,Daño: 14 (Veneno) · inflige veneno 25%,10%,arma
26,Ciénaga de los Ahogados,6,Serpiente de Fango,Botas de Escama,armadura · botas,Velocidad: +3,8%,armadura
27,Ciénaga de los Ahogados,7,Sacerdote Ahogado,Poción de Salud,poción,Restaura 20 HP,50%,pocion
27,Ciénaga de los Ahogados,7,Sacerdote Ahogado,Reliquia Ahogada,material,"Un colgante de templo, ennegrecido por años bajo el agua.",30%,material
27,Ciénaga de los Ahogados,7,Sacerdote Ahogado,Báculo Ahogado,arma,Daño: 17 (Oscuridad) · inflige marchitamiento 25%,10%,arma
27,Ciénaga de los Ahogados,7,Sacerdote Ahogado,Hombreras del Templo,armadura · hombreras,Res.Mágica: 2 | Precisión: +6,8%,armadura
28,Ciénaga de los Ahogados,8,Horror de Profundidad,Poción de Salud,poción,Restaura 20 HP,50%,pocion
28,Ciénaga de los Ahogados,8,Horror de Profundidad,Carne de Profundidad,material,Pálida y fría; no debería seguir moviéndose fuera del agua.,30%,material
28,Ciénaga de los Ahogados,8,Horror de Profundidad,Garra de Profundidad,arma,Daño: 18,8%,arma
28,Ciénaga de los Ahogados,8,Horror de Profundidad,Cinturón de Profundidad,armadura · cinturon,Armadura: 7 | Vida: +15,8%,armadura
29,Ciénaga de los Ahogados,9,Guardián del Templo Hundido,Poción de Salud,poción,Restaura 20 HP,55%,pocion
29,Ciénaga de los Ahogados,9,Guardián del Templo Hundido,Fragmento de Coral Negro,material,"Duro como la piedra, ramificado como algo vivo.",30%,material
29,Ciénaga de los Ahogados,9,Guardián del Templo Hundido,Puño de Coral,arma,Daño: 20,8%,arma
29,Ciénaga de los Ahogados,9,Guardián del Templo Hundido,Placa de Coral Negro,armadura · peto,Armadura: 13 | Vida: +20,8%,armadura
30,Ciénaga de los Ahogados,10,El Anegado,Poción de Salud,poción,Restaura 20 HP,60%,pocion
30,Ciénaga de los Ahogados,10,El Anegado,Legado del Anegado,material,Sigue tibio mucho después de sacarlo del agua. No debería.,30%,material
30,Ciénaga de los Ahogados,10,El Anegado,Cetro del Anegado,arma,Daño: 24 (Oscuridad) · inflige marchitamiento 25%,10%,arma
30,Ciénaga de los Ahogados,10,El Anegado,Anillo del Cieno,armadura · anillo,Daño Crítico: +9%,8%,armadura
31,Cañón del Trueno,1,Gárgola,Poción de Salud,poción,Restaura 20 HP,50%,pocion
31,Cañón del Trueno,1,Gárgola,Fragmento de Gárgola,material,Un trozo de piedra tallada que sigue pesando como si estuviera viva.,25%,material
31,Cañón del Trueno,1,Gárgola,Placa de Gárgola,armadura · peto,Armadura: 16 | Vida: +25,8%,armadura
31,Cañón del Trueno,1,Gárgola,Puño de Piedra,arma,Daño: 19,8%,arma
31,Cañón del Trueno,1,Gárgola,Garra de Tormenta,arma,Daño: 15 (Rayo) · inflige parálisis 25%,6%,arma
32,Cañón del Trueno,2,Gólem de Piedra,Poción de Salud,poción,Restaura 20 HP,50%,pocion
32,Cañón del Trueno,2,Gólem de Piedra,Núcleo de Gólem,material,Un núcleo de piedra pulida que aún retiene calor.,25%,material
32,Cañón del Trueno,2,Gólem de Piedra,Coraza de Gólem,armadura · peto,Armadura: 22 | Vida: +30,8%,armadura
32,Cañón del Trueno,2,Gólem de Piedra,Mazo de Gólem,arma,Daño: 21,8%,arma
32,Cañón del Trueno,2,Gólem de Piedra,Cinturón de Roca,armadura · cinturon,Armadura: 4 | Vida: +20,8%,armadura
32,Cañón del Trueno,2,Gólem de Piedra,Hombreras de Gólem,armadura · hombreras,Armadura: 4 | Precisión: +4,8%,armadura
32,Cañón del Trueno,2,Gólem de Piedra,Botas de Gólem,armadura · botas,Armadura: 3 | Vida: +10 | Velocidad: +1,8%,armadura
33,Cañón del Trueno,3,Minero Poseído,Poción de Salud,poción,Restaura 20 HP,50%,pocion
33,Cañón del Trueno,3,Minero Poseído,Guante de Minero,material,Rígido y ennegrecido; todavía conserva la forma de la mano.,30%,material
33,Cañón del Trueno,3,Minero Poseído,Pico de Minero,arma,Daño: 21,10%,arma
33,Cañón del Trueno,3,Minero Poseído,Casco de Minero,armadura · casco,Vida: +28,8%,armadura
34,Cañón del Trueno,4,Murciélago de Tormenta,Poción de Salud,poción,Restaura 20 HP,50%,pocion
34,Cañón del Trueno,4,Murciélago de Tormenta,Ala de Tormenta,material,"Fina como el papel, pero sigue crepitando al tacto.",30%,material
34,Cañón del Trueno,4,Murciélago de Tormenta,Garra de Murciélago,arma,Daño: 22,10%,arma
34,Cañón del Trueno,4,Murciélago de Tormenta,Perneras de Ala,armadura · perneras,Evasión: +5,8%,armadura
35,Cañón del Trueno,5,Chispa del Puntal,Poción de Salud,poción,Restaura 20 HP,50%,pocion
35,Cañón del Trueno,5,Chispa del Puntal,Mineral de Tormenta,material,Sigue caliente y crepita cuando lo sostienes.,30%,material
35,Cañón del Trueno,5,Chispa del Puntal,Esquirla de Tormenta,arma,Daño: 21 (Rayo) · inflige parálisis 25%,10%,arma
35,Cañón del Trueno,5,Chispa del Puntal,Brazales de Tormenta,armadura · brazales,Prob.Crítico: +5%,8%,armadura
36,Cañón del Trueno,6,Aparición de la Cuadrilla,Poción de Salud,poción,Restaura 20 HP,50%,pocion
36,Cañón del Trueno,6,Aparición de la Cuadrilla,Retal de Cuadrilla,material,Un jirón de ropa de mina; todavía huele a polvo de roca.,30%,material
36,Cañón del Trueno,6,Aparición de la Cuadrilla,Barra de Mina,arma,Daño: 22,10%,arma
36,Cañón del Trueno,6,Aparición de la Cuadrilla,Guantes de Cuadrilla,armadura · guantes,Daño Crítico: +10%,8%,armadura
37,Cañón del Trueno,7,Verdugo de la Mina,Poción de Salud,poción,Restaura 20 HP,55%,pocion
37,Cañón del Trueno,7,Verdugo de la Mina,Roca Amalgamada,material,Roca y hueso fundidos en una sola pieza; pesa más de lo que debería.,30%,material
37,Cañón del Trueno,7,Verdugo de la Mina,Mazo de Galería,arma,Daño: 24,8%,arma
37,Cañón del Trueno,7,Verdugo de la Mina,Cinturón de Galería,armadura · cinturon,Armadura: 16 | Vida: +25,8%,armadura
38,Cañón del Trueno,8,Cabra Montés Corrupta,Poción de Salud,poción,Restaura 20 HP,55%,pocion
38,Cañón del Trueno,8,Cabra Montés Corrupta,Pezuña Corrupta,material,"Se astilla en el borde, como si hubiera pisado algo que no era piedra.",30%,material
38,Cañón del Trueno,8,Cabra Montés Corrupta,Cuerno Afilado,arma,Daño: 25,8%,arma
38,Cañón del Trueno,8,Cabra Montés Corrupta,Botas de Cabra,armadura · botas,Velocidad: +4,8%,armadura
39,Cañón del Trueno,9,Heraldo de la Tormenta,Poción de Salud,poción,Restaura 20 HP,50%,pocion
39,Cañón del Trueno,9,Heraldo de la Tormenta,Mineral Bendecido por la Brecha,material,Late con una carga que no es del todo eléctrica.,30%,material
39,Cañón del Trueno,9,Heraldo de la Tormenta,Vara de Tormenta,arma,Daño: 24 (Rayo) · inflige parálisis 25%,10%,arma
39,Cañón del Trueno,9,Heraldo de la Tormenta,Amuleto de Mineral,armadura · amuleto,Res.Mágica: 7,8%,armadura
40,Cañón del Trueno,10,El Decimoquinto,Poción de Salud,poción,Restaura 20 HP,60%,pocion
40,Cañón del Trueno,10,El Decimoquinto,Nombre a Medio Grabar,material,Un fragmento de puntal con una sola letra tallada: una K.,30%,material
40,Cañón del Trueno,10,El Decimoquinto,Cuchillo Detenido,arma,Daño: 26 (Rayo) · inflige parálisis 25%,10%,arma
40,Cañón del Trueno,10,El Decimoquinto,Anillo del Decimoquinto,armadura · anillo,Daño Crítico: +10%,8%,armadura
41,Torre de los Arcanos / Necrópolis,1,Mago,Bastón Arcano,arma,Daño: 23,8%,arma
41,Torre de los Arcanos / Necrópolis,1,Mago,Túnica Arcana,armadura · peto,Armadura: 9 | Vida: +25 | Res.Mágica: 6,8%,armadura
41,Torre de los Arcanos / Necrópolis,1,Mago,Esencia Arcana,material,"Energía mágica condensada, inestable pero muy valiosa.",10%,material
41,Torre de los Arcanos / Necrópolis,1,Mago,Anillo Arcano,armadura · anillo,Res.Mágica: 4 | Prob.Crítico: +3% | Daño Crítico: +10%,10%,armadura
42,Torre de los Arcanos / Necrópolis,2,Nigromante,Poción de Salud,poción,Restaura 20 HP,50%,pocion
42,Torre de los Arcanos / Necrópolis,2,Nigromante,Polvo de Hueso Negro,material,Ceniza ósea impregnada de magia oscura.,30%,material
42,Torre de los Arcanos / Necrópolis,2,Nigromante,Manto del Nigromante,armadura · amuleto,Res.Mágica: 10 | Prob.Crítico: +5%,8%,armadura
42,Torre de los Arcanos / Necrópolis,2,Nigromante,Cetro de Huesos,arma,Daño: 25,8%,arma
42,Torre de los Arcanos / Necrópolis,2,Nigromante,Cetro de Escarcha,arma,Daño: 21 (Hielo) · inflige congelación 25%,6%,arma
43,Torre de los Arcanos / Necrópolis,3,Tomo Viviente,Poción de Salud,poción,Restaura 20 HP,50%,pocion
43,Torre de los Arcanos / Necrópolis,3,Tomo Viviente,Página Suelta,material,Las letras se reordenan solas si la miras demasiado tiempo.,30%,material
43,Torre de los Arcanos / Necrópolis,3,Tomo Viviente,Filo de Tapa Dura,arma,Daño: 25,10%,arma
43,Torre de los Arcanos / Necrópolis,3,Tomo Viviente,Yelmo de Cuero Viejo,armadura · casco,Vida: +30,8%,armadura
44,Torre de los Arcanos / Necrópolis,4,Guardián Osario,Poción de Salud,poción,Restaura 20 HP,50%,pocion
44,Torre de los Arcanos / Necrópolis,4,Guardián Osario,Hueso Ensamblado,material,Encaja con otros huesos como si nunca hubiera sido de nadie en particular.,30%,material
44,Torre de los Arcanos / Necrópolis,4,Guardián Osario,Lanza de Fémures,arma,Daño: 26,8%,arma
44,Torre de los Arcanos / Necrópolis,4,Guardián Osario,Peto de Osario,armadura · peto,Armadura: 14 | Vida: +20,8%,armadura
45,Torre de los Arcanos / Necrópolis,5,Custodio Arcano,Poción de Salud,poción,Restaura 20 HP,50%,pocion
45,Torre de los Arcanos / Necrópolis,5,Custodio Arcano,Runa Suspendida,material,Sigue girando muy despacio incluso separada del constructo.,30%,material
45,Torre de los Arcanos / Necrópolis,5,Custodio Arcano,Vara de Estudio,arma,Daño: 27 (Arcano) · inflige fractura mágica 25%,10%,arma
45,Torre de los Arcanos / Necrópolis,5,Custodio Arcano,Brazales de Custodio,armadura · brazales,Prob.Crítico: +6%,8%,armadura
46,Torre de los Arcanos / Necrópolis,6,Espectro de la Guardia,Poción de Salud,poción,Restaura 20 HP,50%,pocion
46,Torre de los Arcanos / Necrópolis,6,Espectro de la Guardia,Jirón Espectral,material,Frío al tacto y ligero como si no pesara del todo.,30%,material
46,Torre de los Arcanos / Necrópolis,6,Espectro de la Guardia,Lanza de Guardia,arma,Daño: 28,10%,arma
46,Torre de los Arcanos / Necrópolis,6,Espectro de la Guardia,Hombreras de Guardia,armadura · hombreras,Precisión: +7,8%,armadura
47,Torre de los Arcanos / Necrópolis,7,Bibliotecario Errante,Poción de Salud,poción,Restaura 20 HP,50%,pocion
47,Torre de los Arcanos / Necrópolis,7,Bibliotecario Errante,Ficha de Préstamo,material,El título está raspado; no hace falta leerlo para sentirlo mirar.,30%,material
47,Torre de los Arcanos / Necrópolis,7,Bibliotecario Errante,Puntero de Latón,arma,Daño: 29 (Arcano) · inflige fractura mágica 25%,10%,arma
47,Torre de los Arcanos / Necrópolis,7,Bibliotecario Errante,Anillo del Archivo,armadura · anillo,Daño Crítico: +11%,8%,armadura
48,Torre de los Arcanos / Necrópolis,8,Carroñero de Cripta,Poción de Salud,poción,Restaura 20 HP,50%,pocion
48,Torre de los Arcanos / Necrópolis,8,Carroñero de Cripta,Colmillo Carroñero,material,Amarillento y curvo; huele a tierra por mucho que se limpie.,30%,material
48,Torre de los Arcanos / Necrópolis,8,Carroñero de Cripta,Garra de Cripta,arma,Daño: 28,10%,arma
48,Torre de los Arcanos / Necrópolis,8,Carroñero de Cripta,Botas de Carroñero,armadura · botas,Velocidad: +5,8%,armadura
49,Torre de los Arcanos / Necrópolis,9,Guardián del Tomo Prohibido,Poción de Salud,poción,Restaura 20 HP,55%,pocion
49,Torre de los Arcanos / Necrópolis,9,Guardián del Tomo Prohibido,Fragmento de Sello,material,"Un trozo de aire endurecido, tallado con un símbolo incompleto.",30%,material
49,Torre de los Arcanos / Necrópolis,9,Guardián del Tomo Prohibido,Mazo del Sello,arma,Daño: 30,8%,arma
49,Torre de los Arcanos / Necrópolis,9,Guardián del Tomo Prohibido,Cinturón del Sello,armadura · cinturon,Armadura: 18 | Vida: +25,8%,armadura
50,Torre de los Arcanos / Necrópolis,10,El Archivista,Poción de Salud,poción,Restaura 20 HP,60%,pocion
50,Torre de los Arcanos / Necrópolis,10,El Archivista,Hoja del Tomo que Faltaba,material,"Una sola página, arrancada a propósito del resto del libro.",30%,material
50,Torre de los Arcanos / Necrópolis,10,El Archivista,Pluma del Archivista,arma,Daño: 31 (Arcano) · inflige fractura mágica 25%,10%,arma
50,Torre de los Arcanos / Necrópolis,10,El Archivista,Amuleto del Archivista,armadura · amuleto,Res.Mágica: 11,8%,armadura
51,Ciudadela en Ruinas,1,Ángel Caído,Poción de Salud,poción,Restaura 20 HP,50%,pocion
51,Ciudadela en Ruinas,1,Ángel Caído,Pluma Corrupta,material,Una pluma blanca manchada de un negro que no debería existir.,30%,material
51,Ciudadela en Ruinas,1,Ángel Caído,Aureola Rota,armadura · casco,Armadura: 10 | Vida: +35 | Res.Mágica: 8,8%,armadura
51,Ciudadela en Ruinas,1,Ángel Caído,Espada Sagrada Corrupta,arma,Daño: 27,8%,arma
51,Ciudadela en Ruinas,1,Ángel Caído,Anillo de Juicio,armadura · anillo,Res.Mágica: 3 | Daño Crítico: +14% | Daño: +4,10%,armadura
52,Ciudadela en Ruinas,2,Demonio,Poción de Salud,poción,Restaura 20 HP,50%,pocion
52,Ciudadela en Ruinas,2,Demonio,Ceniza Infernal,material,Restos calcinados que aún arden sin consumirse.,30%,material
52,Ciudadela en Ruinas,2,Demonio,Coraza Demoníaca,armadura · peto,Armadura: 23 | Vida: +30 | Res.Mágica: 6,8%,armadura
52,Ciudadela en Ruinas,2,Demonio,Garra Infernal,arma,Daño: 29 (Fuego) · inflige quemadura 25%,8%,arma
52,Ciudadela en Ruinas,2,Demonio,Perneras Infernales,armadura · perneras,Armadura: 10 | Res.Mágica: 4 | Evasión: +6,8%,armadura
53,Ciudadela en Ruinas,3,Ciudadano Hueco,Poción de Salud,poción,Restaura 20 HP,50%,pocion
53,Ciudadela en Ruinas,3,Ciudadano Hueco,Zapato Abandonado,material,"No es de tu talla, ni de la de nadie que vaya a volver a por él.",30%,material
53,Ciudadela en Ruinas,3,Ciudadano Hueco,Puño Hueco,arma,Daño: 32,10%,arma
53,Ciudadela en Ruinas,3,Ciudadano Hueco,Perneras de Ciudadano,armadura · perneras,Evasión: +6,8%,armadura
54,Ciudadela en Ruinas,4,Guardia Caída,Poción de Salud,poción,Restaura 20 HP,50%,pocion
54,Ciudadela en Ruinas,4,Guardia Caída,Placa Oxidada,material,"El blasón sigue ahí, aunque ya nadie recuerde a qué casa pertenecía.",30%,material
54,Ciudadela en Ruinas,4,Guardia Caída,Espada de Guardia,arma,Daño: 33,10%,arma
