#,Zona,Tier,Nombre,Tipo,Poder real,Desv. objetivo,HP,Ataque,Vel,Crít (%/dmg),Armadura,Res.Mágica,Precisión,Evasión,Pen.Fís,Pen.Mág,Regen,Oro
34,Cañón del Trueno,4,Murciélago de Tormenta,normal,313897,+451%,640,22-30,18,8%/160%,10,1,13,11,2,0,0,240-290
35,Cañón del Trueno,5,Chispa del Puntal,normal,338989,+376%,715,30-40,13,7%/160%,8,3,13,6,6,0,0,260-310
36,Cañón del Trueno,6,Aparición de la Cuadrilla,normal,365384,+310%,855,32-43,11,6%/160%,12,4,10,4,5,0,0,280-335
37,Cañón del Trueno,7,Verdugo de la Mina,normal,393378,+253%,1085,38-50,8,5%/160%,26,5,9,0,8,0,0,305-365
38,Cañón del Trueno,8,Cabra Montés Corrupta,normal,426075,+206%,770,28-38,16,8%/160%,14,2,12,7,4,0,0,290-345
39,Cañón del Trueno,9,Heraldo de la Tormenta,normal,460747,+165%,860,36-48,12,9%/170%,14,9,14,6,6,0,0,320-380
40,Cañón del Trueno,10,El Decimoquinto,guardian,497484,+129%,975,34-46,12,9%/170%,20,10,13,5,7,4,0,340-405
41,Torre de los Arcanos / Necrópolis,1,Mago,elite,80400,+31%,400,10-15,15,12%/160%,6,15,12,10,0,4,0,85-115
42,Torre de los Arcanos / Necrópolis,2,Nigromante,elite,431944,+464%,320,48-64,23,8%/160%,6,10,12,6,0,8,0,110-145
43,Torre de los Arcanos / Necrópolis,3,Tomo Viviente,normal,467728,+389%,855,32-43,14,7%/160%,14,6,12,8,4,0,0,360-430
44,Torre de los Arcanos / Necrópolis,4,Guardián Osario,normal,504334,+322%,1170,40-53,9,5%/160%,18,4,10,1,6,0,0,380-450
45,Torre de los Arcanos / Necrópolis,5,Custodio Arcano,normal,544326,+264%,1065,38-50,11,8%/170%,12,12,13,5,0,6,0,400-475
46,Torre de los Arcanos / Necrópolis,6,Espectro de la Guardia,normal,588845,+215%,1035,36-48,13,7%/160%,10,8,11,6,5,0,0,420-500
47,Torre de los Arcanos / Necrópolis,7,Bibliotecario Errante,normal,635504,+172%,1060,40-54,12,9%/170%,14,10,15,6,0,7,0,440-525
48,Torre de los Arcanos / Necrópolis,8,Carroñero de Cripta,normal,683760,+134%,1100,34-46,15,6%/160%,12,5,12,7,6,0,0,460-550
49,Torre de los Arcanos / Necrópolis,9,Guardián del Tomo Prohibido,normal,740240,+103%,1695,46-60,8,5%/160%,24,10,11,0,9,0,0,480-575
50,Torre de los Arcanos / Necrópolis,10,El Archivista,guardian,800056,+75%,1280,42-56,12,9%/170%,16,14,14,6,0,8,0,510-610
51,Ciudadela en Ruinas,1,Ángel Caído,elite,393461,+206%,380,44-60,19,8%/160%,8,12,14,10,0,8,0,140-180
52,Ciudadela en Ruinas,2,Demonio,elite,812965,+406%,420,58-76,27,10%/170%,10,10,13,8,20,6,0,160-210
53,Ciudadela en Ruinas,3,Ciudadano Hueco,normal,869044,+332%,1365,40-54,13,7%/160%,16,6,11,5,6,0,0,550-655
54,Ciudadela en Ruinas,4,Guardia Caída,normal,931364,+271%,1550,50-66,10,6%/160%,20,7,12,2,7,0,0,580-690
55,Ciudadela en Ruinas,5,Serafín Corrupto,normal,994681,+217%,1405,48-63,12,9%/170%,18,16,15,8,0,9,0,610-725
56,Ciudadela en Ruinas,6,Eco de la Guardia,normal,1064447,+171%,1535,52-69,11,7%/160%,14,9,13,6,7,0,0,640-765
57,Ciudadela en Ruinas,7,Custodio de Vidrieras,normal,1141594,+133%,1415,50-66,13,10%/170%,20,14,16,7,0,9,0,670-800
58,Ciudadela en Ruinas,8,Verdugo Infernal,normal,1220600,+99%,1555,46-61,14,8%/160%,18,10,14,6,8,0,0,700-835
59,Ciudadela en Ruinas,9,Heraldo del Amo,normal,1305640,+70%,2090,58-76,9,6%/160%,24,13,13,0,9,0,0,730-870
60,Ciudadela en Ruinas,10,El Sin Rostro,guardian,1396350,+46%,1740,54-71,12,10%/170%,20,18,15,7,8,10,0,760-910
61,El Corazón de la Brecha,1,Dragón,guardian,1551420,+474%,850,55-75,26,10%/180%,14,10,14,6,6,0,0,300-385
